pairID,gold_label
0,entailment
1,neutral
2,contradiction
3,entailment
4,contradiction
5,neutral
6,contradiction
7,contradiction
8,contradiction
9,entailment
10,entailment
11,entailment
12,contradiction
13,contradiction
14,contradiction
15,neutral
16,entailment
17,entailment
18,neutral
19,entailment
20,neutral
21,neutral
22,neutral
23,neutral
24,contradiction
25,contradiction
26,entailment
27,entailment
28,contradiction
29,contradiction
30,neutral
31,neutral
32,entailment
33,entailment
34,entailment
35,entailment
36,contradiction
37,contradiction
38,contradiction
39,contradiction
40,contradiction
41,contradiction
42,entailment
43,entailment
44,neutral
45,entailment
46,contradiction
47,entailment
48,contradiction
49,entailment
50,contradiction
51,neutral
52,neutral
53,contradiction
54,neutral
55,contradiction
56,entailment
57,entailment
58,neutral
59,contradiction
60,contradiction
61,entailment
62,contradiction
63,neutral
64,contradiction
65,contradiction
66,neutral
67,contradiction
68,entailment
69,entailment
70,neutral
71,entailment
72,entailment
73,entailment
74,neutral
75,entailment
76,neutral
77,entailment
78,contradiction
79,entailment
80,contradiction
81,contradiction
82,entailment
83,neutral
84,contradiction
85,neutral
86,neutral
87,neutral
88,entailment
89,entailment
90,contradiction
91,entailment
92,contradiction
93,contradiction
94,contradiction
95,neutral
96,contradiction
97,entailment
98,contradiction
99,entailment
100,neutral
101,neutral
102,neutral
103,neutral
104,contradiction
105,entailment
106,entailment
107,contradiction
108,contradiction
109,entailment
110,entailment
111,neutral
112,contradiction
113,neutral
114,neutral
115,entailment
116,contradiction
117,entailment
118,contradiction
119,contradiction
120,entailment
121,entailment
122,contradiction
123,entailment
124,entailment
125,contradiction
126,entailment
127,neutral
128,entailment
129,contradiction
130,neutral
131,contradiction
132,contradiction
133,contradiction
134,neutral
135,contradiction
136,entailment
137,entailment
138,neutral
139,contradiction
140,contradiction
141,entailment
142,entailment
143,neutral
144,neutral
145,neutral
146,entailment
147,neutral
148,contradiction
149,neutral
150,contradiction
151,entailment
152,entailment
153,entailment
154,entailment
155,entailment
156,contradiction
157,contradiction
158,neutral
159,entailment
160,contradiction
161,entailment
162,contradiction
163,entailment
164,contradiction
165,contradiction
166,neutral
167,contradiction
168,entailment
169,contradiction
170,neutral
171,contradiction
172,entailment
173,neutral
174,entailment
175,entailment
176,neutral
177,contradiction
178,neutral
179,neutral
180,entailment
181,entailment
182,contradiction
183,entailment
184,contradiction
185,neutral
186,contradiction
187,entailment
188,entailment
189,entailment
190,neutral
191,contradiction
192,contradiction
193,neutral
194,contradiction
195,neutral
196,contradiction
197,contradiction
198,entailment
199,contradiction
200,entailment
201,entailment
202,neutral
203,neutral
204,contradiction
205,contradiction
206,entailment
207,neutral
208,entailment
209,neutral
210,entailment
211,contradiction
212,neutral
213,entailment
214,neutral
215,contradiction
216,neutral
217,neutral
218,neutral
219,entailment
220,contradiction
221,contradiction
222,entailment
223,contradiction
224,contradiction
225,entailment
226,contradiction
227,contradiction
228,contradiction
229,contradiction
230,neutral
231,neutral
232,entailment
233,entailment
234,neutral
235,contradiction
236,contradiction
237,entailment
238,entailment
239,contradiction
240,entailment
241,entailment
242,entailment
243,neutral
244,entailment
245,contradiction
246,neutral
247,neutral
248,entailment
249,neutral
250,entailment
251,entailment
252,neutral
253,neutral
254,entailment
255,entailment
256,contradiction
257,contradiction
258,entailment
259,neutral
260,entailment
261,contradiction
262,entailment
263,entailment
264,entailment
265,entailment
266,contradiction
267,neutral
268,entailment
269,entailment
270,neutral
271,entailment
272,entailment
273,neutral
274,neutral
275,contradiction
276,neutral
277,neutral
278,contradiction
279,contradiction
280,entailment
281,contradiction
282,entailment
283,entailment
284,contradiction
285,entailment
286,neutral
287,contradiction
288,entailment
289,contradiction
290,contradiction
291,contradiction
292,neutral
293,neutral
294,contradiction
295,entailment
296,neutral
297,entailment
298,contradiction
299,contradiction
300,neutral
301,neutral
302,entailment
303,contradiction
304,contradiction
305,entailment
306,neutral
307,contradiction
308,neutral
309,contradiction
310,entailment
311,neutral
312,neutral
313,neutral
314,entailment
315,neutral
316,entailment
317,neutral
318,entailment
319,entailment
320,contradiction
321,neutral
322,neutral
323,neutral
324,contradiction
325,entailment
326,contradiction
327,entailment
328,contradiction
329,entailment
330,contradiction
331,entailment
332,contradiction
333,neutral
334,entailment
335,entailment
336,entailment
337,neutral
338,contradiction
339,entailment
340,entailment
341,neutral
342,entailment
343,entailment
344,contradiction
345,neutral
346,entailment
347,entailment
348,entailment
349,neutral
350,contradiction
351,entailment
352,neutral
353,contradiction
354,neutral
355,neutral
356,entailment
357,contradiction
358,neutral
359,contradiction
360,entailment
361,contradiction
362,neutral
363,neutral
364,neutral
365,contradiction
366,entailment
367,entailment
368,neutral
369,contradiction
370,contradiction
371,neutral
372,entailment
373,contradiction
374,contradiction
375,contradiction
376,entailment
377,entailment
378,entailment
379,neutral
380,entailment
381,entailment
382,entailment
383,entailment
384,entailment
385,neutral
386,neutral
387,entailment
388,contradiction
389,entailment
390,contradiction
391,neutral
392,entailment
393,neutral
394,neutral
395,entailment
396,neutral
