pairID,gold_label
9847,entailment
9848,entailment
9849,entailment
9850,entailment
9851,contradiction
9852,entailment
9853,contradiction
9854,neutral
9855,entailment
9856,neutral
9857,neutral
9858,entailment
9859,entailment
9860,entailment
9861,contradiction
9862,entailment
9863,neutral
9864,neutral
9865,neutral
9866,entailment
9867,entailment
9868,neutral
9869,contradiction
9870,neutral
9871,entailment
9872,neutral
9873,contradiction
9874,contradiction
9875,contradiction
9876,neutral
9877,entailment
9878,neutral
9879,contradiction
9880,contradiction
9881,entailment
9882,entailment
9883,contradiction
9884,entailment
9885,neutral
9886,neutral
9887,entailment
9888,entailment
9889,entailment
9890,neutral
9891,entailment
9892,neutral
9893,entailment
9894,entailment
9895,entailment
9896,entailment
9897,neutral
9898,entailment
9899,neutral
9900,contradiction
9901,contradiction
9902,contradiction
9903,contradiction
9904,entailment
9905,entailment
9906,neutral
9907,contradiction
9908,contradiction
9909,contradiction
9910,neutral
9911,contradiction
9912,neutral
9913,entailment
9914,contradiction
9915,neutral
9916,entailment
9917,contradiction
9918,entailment
9919,neutral
9920,neutral
9921,neutral
9922,neutral
9923,neutral
9924,contradiction
9925,entailment
9926,contradiction
9927,contradiction
9928,entailment
9929,entailment
9930,contradiction
9931,neutral
9932,entailment
9933,contradiction
9934,contradiction
9935,contradiction
9936,neutral
9937,contradiction
9938,entailment
9939,neutral
9940,entailment
9941,contradiction
9942,contradiction
9943,entailment
9944,contradiction
9945,neutral
9946,contradiction
9947,entailment
9948,neutral
9949,contradiction
9950,neutral
9951,neutral
9952,contradiction
9953,contradiction
9954,entailment
9955,neutral
9956,entailment
9957,neutral
9958,contradiction
9959,contradiction
9960,neutral
9961,entailment
9962,neutral
9963,entailment
9964,entailment
9965,contradiction
9966,neutral
9967,neutral
9968,entailment
9969,neutral
9970,entailment
9971,contradiction
9972,neutral
9973,neutral
9974,contradiction
9975,entailment
9976,entailment
9977,neutral
9978,contradiction
9979,neutral
9980,contradiction
9981,neutral
9982,entailment
9983,neutral
9984,entailment
9985,entailment
9986,entailment
9987,contradiction
9988,neutral
9989,neutral
9990,contradiction
9991,contradiction
9992,entailment
9993,contradiction
9994,contradiction
9995,entailment
9996,entailment
9997,contradiction
9998,entailment
9999,neutral
10000,entailment
10001,neutral
10002,entailment
10003,contradiction
10004,entailment
10005,contradiction
10006,neutral
10007,contradiction
10008,neutral
10009,contradiction
10010,entailment
10011,contradiction
10012,entailment
10013,neutral
10014,contradiction
10015,entailment
10016,entailment
10017,contradiction
10018,contradiction
10019,entailment
10020,entailment
10021,contradiction
10022,contradiction
10023,contradiction
10024,neutral
10025,contradiction
10026,neutral
10027,entailment
10028,contradiction
10029,contradiction
10030,neutral
10031,entailment
10032,contradiction
10033,contradiction
10034,contradiction
10035,entailment
10036,neutral
10037,entailment
10038,neutral
10039,entailment
10040,entailment
10041,entailment
10042,contradiction
10043,contradiction
10044,entailment
10045,neutral
10046,contradiction
10047,neutral
10048,neutral
10049,entailment
10050,neutral
10051,entailment
10052,entailment
10053,neutral
10054,neutral
10055,entailment
10056,neutral
10057,contradiction
10058,neutral
10059,contradiction
10060,neutral
10061,entailment
10062,neutral
10063,neutral
10064,entailment
10065,contradiction
10066,contradiction
10067,contradiction
10068,entailment
10069,contradiction
10070,contradiction
10071,neutral
10072,neutral
10073,contradiction
10074,entailment
10075,contradiction
10076,neutral
10077,contradiction
10078,entailment
10079,neutral
10080,entailment
10081,entailment
10082,neutral
10083,contradiction
10084,contradiction
10085,neutral
10086,entailment
10087,neutral
10088,neutral
10089,contradiction
10090,neutral
10091,entailment
10092,entailment
10093,neutral
10094,entailment
10095,neutral
10096,neutral
10097,entailment
10098,contradiction
10099,contradiction
10100,contradiction
10101,neutral
10102,entailment
10103,neutral
10104,contradiction
10105,entailment
10106,neutral
10107,neutral
10108,entailment
10109,contradiction
10110,contradiction
10111,contradiction
10112,neutral
10113,neutral
10114,neutral
10115,neutral
10116,entailment
10117,contradiction
10118,entailment
10119,entailment
10120,contradiction
10121,entailment
10122,contradiction
10123,contradiction
10124,contradiction
10125,entailment
10126,contradiction
10127,contradiction
10128,neutral
10129,neutral
10130,entailment
10131,entailment
10132,entailment
10133,entailment
10134,entailment
10135,entailment
10136,entailment
10137,contradiction
10138,neutral
10139,neutral
10140,contradiction
10141,neutral
10142,entailment
10143,contradiction
10144,entailment
10145,entailment
10146,entailment
10147,neutral
10148,neutral
10149,neutral
10150,contradiction
10151,neutral
10152,neutral
10153,entailment
10154,contradiction
10155,contradiction
10156,contradiction
10157,contradiction
10158,entailment
10159,contradiction
10160,entailment
10161,neutral
10162,contradiction
10163,entailment
10164,entailment
10165,neutral
10166,neutral
10167,neutral
10168,entailment
10169,entailment
10170,neutral
10171,contradiction
10172,entailment
10173,contradiction
10174,entailment
10175,neutral
10176,contradiction
10177,neutral
10178,entailment
10179,contradiction
10180,neutral
10181,neutral
10182,contradiction
10183,contradiction
10184,entailment
10185,neutral
10186,contradiction
10187,neutral
10188,contradiction
10189,contradiction
10190,contradiction
10191,entailment
10192,contradiction
10193,entailment
10194,entailment
10195,neutral
10196,contradiction
10197,entailment
10198,entailment
10199,neutral
10200,neutral
10201,entailment
10202,contradiction
10203,neutral
10204,neutral
10205,entailment
10206,contradiction
10207,neutral
10208,entailment
10209,contradiction
10210,entailment
10211,neutral
10212,neutral
10213,contradiction
10214,neutral
10215,entailment
10216,contradiction
10217,neutral
10218,contradiction
10219,entailment
10220,contradiction
10221,contradiction
10222,neutral
10223,neutral
10224,contradiction
10225,contradiction
10226,contradiction
10227,entailment
10228,contradiction
10229,entailment
10230,entailment
10231,contradiction
10232,entailment
10233,contradiction
10234,entailment
10235,neutral
10236,entailment
10237,contradiction
10238,entailment
10239,entailment
10240,entailment
10241,contradiction
10242,entailment
10243,contradiction
10244,entailment
10245,entailment
10246,neutral
10247,neutral
10248,neutral
10249,neutral
10250,neutral
10251,neutral
10252,entailment
10253,contradiction
10254,contradiction
10255,contradiction
10256,contradiction
10257,contradiction
10258,entailment
10259,neutral
10260,contradiction
10261,contradiction
10262,contradiction
10263,entailment
10264,entailment
10265,neutral
10266,entailment
10267,contradiction
10268,contradiction
10269,entailment
10270,contradiction
10271,contradiction
10272,contradiction
10273,entailment
10274,contradiction
10275,entailment
10276,neutral
10277,contradiction
10278,neutral
10279,contradiction
10280,neutral
10281,contradiction
10282,entailment
10283,neutral
10284,entailment
10285,contradiction
10286,entailment
10287,neutral
10288,entailment
10289,contradiction
10290,entailment
10291,entailment
10292,neutral
10293,neutral
10294,neutral
10295,entailment
10296,entailment
10297,entailment
10298,neutral
10299,entailment
10300,neutral
10301,contradiction
10302,contradiction
10303,neutral
10304,contradiction
10305,contradiction
10306,entailment
10307,contradiction
10308,contradiction
10309,neutral
10310,contradiction
10311,neutral
10312,neutral
10313,entailment
10314,contradiction
10315,neutral
10316,neutral
10317,contradiction
10318,entailment
10319,contradiction
10320,entailment
10321,neutral
10322,entailment
10323,entailment
10324,entailment
10325,neutral
10326,contradiction
10327,contradiction
10328,neutral
10329,neutral
10330,contradiction
10331,entailment
10332,entailment
10333,contradiction
10334,contradiction
10335,contradiction
10336,neutral
10337,neutral
10338,entailment
10339,neutral
10340,entailment
10341,contradiction
10342,entailment
10343,neutral
10344,entailment
10345,entailment
10346,entailment
10347,contradiction
10348,contradiction
10349,entailment
10350,contradiction
10351,neutral
10352,neutral
10353,contradiction
10354,contradiction
10355,contradiction
10356,neutral
10357,entailment
10358,contradiction
10359,entailment
10360,neutral
10361,neutral
10362,contradiction
10363,entailment
10364,contradiction
10365,neutral
10366,contradiction
10367,entailment
10368,entailment
10369,neutral
10370,contradiction
10371,entailment
10372,contradiction
10373,neutral
10374,entailment
10375,entailment
10376,contradiction
10377,entailment
10378,contradiction
10379,neutral
10380,entailment
10381,entailment
10382,contradiction
10383,entailment
10384,neutral
10385,entailment
10386,neutral
10387,contradiction
10388,neutral
10389,entailment
10390,entailment
10391,contradiction
10392,contradiction
10393,entailment
10394,contradiction
10395,entailment
10396,neutral
10397,entailment
10398,neutral
10399,contradiction
10400,entailment
10401,entailment
10402,entailment
10403,neutral
10404,entailment
10405,neutral
10406,entailment
10407,contradiction
10408,entailment
10409,contradiction
10410,contradiction
10411,contradiction
10412,entailment
10413,contradiction
10414,neutral
10415,entailment
10416,neutral
10417,entailment
10418,neutral
10419,neutral
10420,neutral
10421,entailment
10422,neutral
10423,contradiction
10424,contradiction
10425,contradiction
10426,contradiction
10427,neutral
10428,entailment
10429,entailment
10430,neutral
10431,neutral
10432,entailment
10433,contradiction
10434,entailment
10435,entailment
10436,entailment
10437,neutral
10438,contradiction
10439,contradiction
10440,contradiction
10441,entailment
10442,entailment
10443,contradiction
10444,neutral
10445,contradiction
10446,contradiction
10447,neutral
10448,entailment
10449,entailment
10450,entailment
10451,entailment
10452,entailment
10453,neutral
10454,neutral
10455,entailment
10456,contradiction
10457,neutral
10458,entailment
10459,neutral
10460,neutral
10461,neutral
10462,entailment
10463,entailment
10464,contradiction
10465,entailment
10466,neutral
10467,neutral
10468,entailment
10469,entailment
10470,entailment
10471,neutral
10472,entailment
10473,entailment
10474,entailment
10475,contradiction
10476,entailment
10477,entailment
10478,entailment
10479,neutral
10480,contradiction
10481,neutral
10482,neutral
10483,contradiction
10484,entailment
10485,entailment
